symbolicName,state,fragment,version
com.day.cq.cq-replication-audit (Base),Active,False,5.9.8
com.day.cq.cq-replication-audit (Other),Active,False,5.8.6
com.day.cq.cq-security (Base),Active,False,5.9.34
com.day.cq.cq-security (Other),Active,False,5.9.32
com.day.cq.cq-tagging (Base),Active,False,5.9.10
com.day.cq.cq-tagging (Other),Active,False,5.9.8
com.day.cq.wcm.cq-wcm-api (Base),Active,False,5.10.46
com.day.cq.wcm.cq-wcm-api (Other),Active,False,5.10.44
com.day.cq.wcm.cq-wcm-core (Base),Active,False,5.9.356
com.day.cq.wcm.cq-wcm-core (Other),Active,False,5.9.344
com.day.cq.wcm.cq-msm-core (Base),Active,False,5.9.80
com.day.cq.wcm.cq-msm-core (Other),Active,False,5.9.72
com.day.cq.wcm.cq-wcm-webservice-support (Base),Active,False,5.9.16
com.day.cq.wcm.cq-wcm-webservice-support (Other),Active,False,5.9.14
com.day.cq.dam.cq-dam-s7dam (Base),Active,False,5.9.140
com.day.cq.dam.cq-dam-s7dam (Other),Active,False,5.9.134
com.adobe.granite.translation.connector.msft.core (Base),Active,False,1.2.16
com.adobe.granite.translation.connector.msft.core (Other),Active,False,1.2.10
com.adobe.granite.translation.core (Base),Active,False,1.1.34
com.adobe.granite.translation.core (Other),Active,False,1.1.32
org.apache.jackrabbit.jackrabbit-data (Base),Active,False,2.12.2
org.apache.jackrabbit.jackrabbit-data (Other),Active,False,2.12.1
org.apache.jackrabbit.jackrabbit-jcr-commons (Base),Active,False,2.12.2
org.apache.jackrabbit.jackrabbit-jcr-commons (Other),Active,False,2.12.1
org.apache.jackrabbit.jackrabbit-webdav (Base),Active,False,2.12.2
org.apache.jackrabbit.jackrabbit-webdav (Other),Active,False,2.12.1
org.apache.jackrabbit.oak-blob (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-blob (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-commons (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-commons (Other),Active,False,1.4.1
com.adobe.granite.repository (Base),Active,False,1.2.66.CQ622-B0010
com.adobe.granite.repository (Other),Active,False,1.2.66.CQ620-B0006
org.apache.jackrabbit.oak-core (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-core (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-auth-external (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-auth-external (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-auth-ldap (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-auth-ldap (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-lucene (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-lucene (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-segment (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-segment (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-solr-osgi (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-solr-osgi (Other),Active,False,1.4.1
org.apache.jackrabbit.oak-tarmk-standby (Base),Active,False,1.4.6
org.apache.jackrabbit.oak-tarmk-standby (Other),Active,False,1.4.1
be.telenetgroup.services.tg-components-itel-impl (Base),Active,False,1.10.0.SNAPSHOT
be.telenetgroup.services.tg-components-itel-impl (Other),Installed,False,1.10.0.SNAPSHOT
be.telenetgroup.services.tg-components-itel-stubs (Base),Resolved,False,1.10.0.SNAPSHOT
be.telenetgroup.services.tg-components-itel-stubs (Other),Active,False,1.10.0.SNAPSHOT
